,year_month,yiyang_neutral,yiyang_positive,yiyang_negative,yiyang_confidence,sentiment_score_yiyang,sentiment_score_yiyang_std
53,2003-08,0.9668579,0.032230824,0.0009112971,0.9668579,0.03131952619696676,-0.2579334782237476
54,2003-09,0.9762229,0.016823005,0.006954151,0.9762229,0.009868853725492954,-0.32754494796387157
55,2003-10,0.9998461,0.00013141726,2.2365708e-05,0.9998461,0.0001090515443138429,-0.3592173430884644
56,2003-11,0.9867598,0.0125882635,0.0006519087,0.9867598,0.01193635507070212,-0.3208355169415534
57,2004-01,0.8553995,0.14409444,0.0005060553,0.91686195,0.14358838138150531,0.10640008874623506
58,2004-02,0.99573946,0.00424658,1.4004481e-05,0.99573946,0.0042325754675403005,-0.34583573180396593
59,2004-03,0.6523903,0.34735775,0.00025190497,0.9838837,0.34710585786160664,0.7668526071659332
60,2004-04,0.49993634,0.5000558,7.892968e-06,0.9999322,0.5000479183231761,1.2631783810068715
61,2004-06,0.9973761,0.0024862255,0.00013766011,0.9973761,0.002348565281863557,-0.3519496994758294
62,2004-07,0.33364546,0.6663223,3.2212272e-05,0.99880815,0.6662900838244165,1.8026654991245807
63,2004-08,0.9924609,0.007029056,0.0005100939,0.9924609,0.006518962210975587,-0.3384159764645227
64,2004-09,0.99112886,0.008589068,0.00028208032,0.99112886,0.008306988049298525,-0.3326134960665539
65,2004-10,0.79690754,0.19541702,0.0076753655,0.79690754,0.18774165478680516,0.24968577173206435
66,2004-11,0.56597996,0.30753836,0.12648171,0.83780414,0.1810566536581367,0.22799168477978574
67,2004-12,0.9977702,0.0017691515,0.00046064187,0.9977702,0.0013085096725262702,-0.35532487569343796
68,2005-01,0.98067945,0.019177092,0.0001434698,0.98067945,0.01903362285217251,-0.2978035471017082
69,2005-02,0.74647737,0.25343052,9.20918e-05,0.7641402,0.2533384394306874,0.46255968490935606
70,2005-03,0.9820702,0.015799277,0.0021305333,0.9820702,0.013668743118614657,-0.31521359164593443
71,2005-05,0.7932072,0.20644477,0.00034802183,0.9926702,0.20609673257167743,0.3092514540433503
72,2005-06,0.65847653,0.3388581,0.0026653705,0.9917779,0.3361927201973837,0.731437421311358
73,2005-08,0.9956726,0.0042058593,0.00012156917,0.9956726,0.004084290318132844,-0.3463169450248854
74,2005-09,0.8998872,0.099736825,0.00037597038,0.8998872,0.0993608551871148,-0.0371265585164848
75,2005-10,0.7295782,0.16505067,0.10537121,0.7295782,0.059679463234109185,-0.16590014446611265
76,2005-11,0.5374232,0.46151745,0.0010592989,0.9556082,0.4604581527528353,1.134702139915441
77,2005-12,0.9949469,0.004902447,0.00015066277,0.9949469,0.004751784334075637,-0.3441508013035495
78,2006-01,0.9808854,0.018827075,0.00028752972,0.9808854,0.01853954571538452,-0.29940692040865424
79,2006-02,0.98640895,0.01311148,0.00047961183,0.98640895,0.01263186796768423,-0.31857844667736834
80,2006-03,0.53862447,0.46058267,0.000792809,0.95846254,0.4597898666834226,1.1325334258315105
81,2006-04,0.9994217,0.00056808855,1.02160075e-05,0.9994217,0.000557872544050042,-0.3577608344646245
82,2006-05,0.99323595,0.0050658,0.0016982731,0.99323595,0.0033675271802167117,-0.34864297632074515
83,2006-06,0.996176,0.0035819998,0.00024191619,0.996176,0.0033400834872736596,-0.3487320362699567
84,2006-07,0.99564904,0.0042725615,7.842022e-05,0.99564904,0.0041941415083783795,-0.34596045723570945
85,2006-08,0.9997304,0.00023275481,3.6807778e-05,0.9997304,0.00019594703553593718,-0.3589353508634746
86,2006-09,0.49990267,0.5000904,6.946647e-06,0.99961555,0.5000834828979137,1.263293794746066
87,2006-10,0.9711948,0.028620286,0.00018486934,0.9711948,0.028435415593473106,-0.2672929599961377
88,2006-11,0.60399,0.22481528,0.17119472,0.95530206,0.05362057532438484,-0.18556237617225002
89,2006-12,0.75959754,0.23964381,0.00075864466,0.81547314,0.23888517654510602,0.4156561263685372
90,2007-01,0.97572196,0.024219349,5.8710095e-05,0.97572196,0.02416063839518756,-0.2811654166279731
91,2007-02,0.9654582,0.03451125,3.0513746e-05,0.9654582,0.034480734933216205,-0.24767476085354465
92,2007-03,0.8711018,0.1287919,0.00010633531,0.8711018,0.12868556346802507,0.058037639522025224
93,2007-04,2.803535e-05,0.9999684,3.6010067e-06,0.9999684,0.9999648085315584,2.8855027869944427
94,2007-05,0.99493444,0.0035658153,0.0014996849,0.99493444,0.0020661302428379713,-0.3528662543390313
95,2007-06,0.5757112,0.42423344,5.52917e-05,0.9709961,0.4241781692963514,1.0169667647698941
96,2007-07,0.78256464,0.21730764,0.00012768788,0.9490779,0.21717995624567266,0.34521860101421337
